claim_id,claim_amount,claim_date,claim_type,avg_claim_for_type,customer_id,customer_name,age,location,high_risk_location,policy_id,policy_type,policy_coverage,policy_start_date,policy_expiry_date,premium_payment_irregular,accident_type,accident_requires_police_report,police_report,report_date_mismatch,no_witnesses,vehicle_id,vehicle_type,vehicle_age,damage_match,previous_claims,previous_fraud,claim_frequency,claims_in_last_30_days,document_status,report_consistency,multiple_policies_same_vehicle,label_is_fraud_synthetic
CLM-1361,92674.16,2024-09-19,Fire,150000,CUST-2361,Charles Jacobs,23,Chennai,False,POL-3361,Comprehensive Motor,750000,2022-10-08,2023-10-08,False,Fire,True,True,False,False,VEH-4361,Sedan,14,True,0,False,0.6,0,complete,True,False,False
CLM-1073,745110.23,2023-08-08,Total Loss,250000,CUST-2073,Anita Ortiz,46,Hyderabad,False,POL-3073,Comprehensive Motor,2000000,2023-07-26,2024-07-25,False,Total Loss,True,False,False,True,VEH-4073,SUV,6,False,4,True,2.1,0,incomplete,False,False,True
CLM-1374,191585.38,2026-03-30,Fire,150000,CUST-2374,Laurie Anderson,29,Coimbatore,False,POL-3374,Zero Depreciation,1200000,2025-10-16,2026-10-16,True,Fire,True,True,False,False,VEH-4374,SUV,2,True,1,False,0.2,0,complete,True,False,False
CLM-1155,165284.24,2026-08-10,Natural Calamity,120000,CUST-2155,William Lee,32,Chennai,False,POL-3155,Zero Depreciation,600000,2026-04-16,2027-04-16,False,Natural Calamity,False,True,False,False,VEH-4155,Two-Wheeler,8,True,1,False,0.3,0,complete,True,False,False
CLM-1104,4878.81,2025-11-03,Windscreen Damage,12000,CUST-2104,Joseph Brady,62,Madurai,False,POL-3104,Comprehensive Motor,96000,2023-11-20,2024-11-19,False,Windscreen Damage,False,True,False,False,VEH-4104,Truck,11,True,1,False,0.4,0,complete,True,False,False
CLM-1394,213790.7,2024-02-29,Fire,150000,CUST-2394,Edward Rivers,63,Salem,True,POL-3394,Third-Party Motor,750000,2023-11-03,2024-11-02,False,Fire,True,True,False,True,VEH-4394,Truck,0,True,1,False,0.9,0,complete,True,False,False
CLM-1377,18922.91,2026-04-27,Windscreen Damage,12000,CUST-2377,Diane Schaefer,60,Hyderabad,False,POL-3377,Zero Depreciation,60000,2026-01-17,2027-01-17,False,Windscreen Damage,False,True,False,False,VEH-4377,SUV,12,True,1,False,0.9,0,complete,True,False,False
CLM-1124,66331.68,2024-01-18,Fire,150000,CUST-2124,Anthony Lucas,38,Madurai,False,POL-3124,Zero Depreciation,750000,2023-11-20,2024-11-19,False,Fire,True,True,False,False,VEH-4124,Two-Wheeler,2,True,0,False,0.2,0,complete,True,False,False
CLM-1068,397876.05,2022-12-09,Fire,150000,CUST-2068,Patrick Valentine,57,Hyderabad,False,POL-3068,Comprehensive Motor,750000,2022-11-29,2023-11-29,True,Fire,True,False,False,True,VEH-4068,Hatchback,7,False,3,True,1.8,1,incomplete,False,False,True
CLM-1450,205410.1,2025-10-27,Fire,150000,CUST-2450,Erik Olson,27,Chennai,False,POL-3450,Comprehensive Motor,1200000,2024-12-20,2025-12-20,False,Fire,True,True,False,False,VEH-4450,Truck,10,True,1,False,0.2,0,complete,True,False,False
CLM-1009,578214.72,2022-04-15,Fire,150000,CUST-2009,Jasmine Ruiz,26,Chennai,False,POL-3009,Zero Depreciation,450000,2022-04-04,2023-04-04,False,Fire,True,True,True,True,VEH-4009,Hatchback,9,True,3,False,3.0,1,complete,False,False,True
CLM-1194,116048.06,2026-08-08,Natural Calamity,120000,CUST-2194,Erica Payne,67,Hyderabad,False,POL-3194,Third-Party Motor,960000,2026-06-25,2027-06-25,False,Natural Calamity,False,True,False,False,VEH-4194,Truck,7,True,1,False,0.7,0,complete,True,False,False
CLM-1406,13530.01,2026-07-06,Windscreen Damage,12000,CUST-2406,Amy Patterson,66,Trichy,True,POL-3406,Zero Depreciation,60000,2026-01-08,2027-01-08,False,Windscreen Damage,False,True,False,False,VEH-4406,Sedan,0,True,0,False,0.3,0,complete,True,False,False
CLM-1084,157599.0,2024-06-06,Collision,55000,CUST-2084,Mia Kramer,59,Trichy,True,POL-3084,Third-Party Motor,440000,2024-05-30,2025-05-30,True,Collision,True,True,False,True,VEH-4084,SUV,6,False,3,True,2.5,1,complete,False,False,True
CLM-1371,44115.06,2025-10-15,Theft,90000,CUST-2371,Elizabeth Greene,48,Trichy,True,POL-3371,Zero Depreciation,720000,2024-04-20,2025-04-20,False,Theft,True,True,False,False,VEH-4371,Truck,1,True,1,False,0.9,0,complete,True,False,False
CLM-1388,12696.93,2026-07-08,Windscreen Damage,12000,CUST-2388,Nicholas Gonzales,55,Hyderabad,False,POL-3388,Comprehensive Motor,60000,2024-03-24,2025-03-24,False,Windscreen Damage,False,True,False,True,VEH-4388,Hatchback,3,True,0,False,0.0,0,complete,True,False,False
CLM-1495,49027.15,2026-08-19,Collision,55000,CUST-2495,Aaron Leonard,65,Salem,True,POL-3495,Comprehensive Motor,440000,2026-03-10,2027-03-10,False,Collision,True,True,False,False,VEH-4495,SUV,6,True,1,False,0.7,0,complete,True,False,False
CLM-1030,439832.39,2023-06-30,Natural Calamity,120000,CUST-2030,Gregory Brown,34,Trichy,True,POL-3030,Zero Depreciation,960000,2023-06-27,2024-06-26,False,Natural Calamity,False,True,False,True,VEH-4030,Truck,0,False,3,True,3.2,1,complete,False,False,True
CLM-1316,6395.82,2025-07-04,Windscreen Damage,12000,CUST-2316,Adrienne Hayes,68,Madurai,False,POL-3316,Zero Depreciation,60000,2022-12-08,2023-12-08,False,Windscreen Damage,False,True,False,True,VEH-4316,Two-Wheeler,9,True,1,False,1.2,0,complete,True,False,False
CLM-1408,161341.94,2025-07-16,Fire,150000,CUST-2408,Debra Green,57,Salem,True,POL-3408,Third-Party Motor,750000,2022-04-29,2023-04-29,False,Fire,True,True,False,False,VEH-4408,Truck,7,True,0,False,0.8,0,complete,True,False,False
CLM-1490,9648.06,2025-10-29,Windscreen Damage,12000,CUST-2490,Jordan Curtis,20,Salem,True,POL-3490,Third-Party Motor,96000,2024-03-31,2025-03-31,False,Windscreen Damage,False,True,False,False,VEH-4490,Two-Wheeler,10,True,0,False,0.9,0,complete,True,False,False
CLM-1491,128530.88,2026-07-31,Natural Calamity,120000,CUST-2491,Christopher Garcia,58,Chennai,False,POL-3491,Zero Depreciation,960000,2026-06-08,2027-06-08,True,Natural Calamity,False,True,False,False,VEH-4491,Truck,9,True,1,False,0.0,0,complete,True,False,False
CLM-1280,140983.58,2026-07-09,Theft,90000,CUST-2280,Alisha Burns,54,Coimbatore,False,POL-3280,Comprehensive Motor,720000,2026-06-03,2027-06-03,False,Theft,True,True,False,False,VEH-4280,Hatchback,10,True,0,False,0.7,0,complete,True,False,False
CLM-1356,151117.45,2024-06-21,Total Loss,250000,CUST-2356,Dana Valdez,61,Chennai,False,POL-3356,Third-Party Motor,2000000,2024-03-31,2025-03-31,False,Total Loss,True,True,False,False,VEH-4356,Truck,9,True,1,False,1.2,0,complete,True,False,False
CLM-1076,448129.27,2026-06-19,Fire,150000,CUST-2076,Diana Adams,69,Bengaluru,False,POL-3076,Third-Party Motor,750000,2026-05-30,2027-05-30,False,Fire,True,False,False,True,VEH-4076,Truck,8,True,4,False,3.4,1,incomplete,False,False,True
